"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","0.00000690","0.00000881","0.00000881","0.00000661","246,306.84B","-21.68%"
"03/01/2024","0.00000881","0.00000274","0.00001077","0.00000268","4,079,750.78B","221.53%"
"02/01/2024","0.00000274","0.00000092","0.00000337","0.00000086","1,990,933.83B","197.83%"
"01/01/2024","0.00000092","0.00000130","0.00000150","0.00000090","957,257.28B","-29.23%"
"12/01/2023","0.00000130","0.00000109","0.00000175","0.00000108","1,593,202.82B","19.27%"
"11/01/2023","0.00000109","0.00000115","0.00000146","0.00000103","1,320,053.50B","-5.22%"
"10/01/2023","0.00000115","0.00000080","0.00000136","0.00000061","1,478,508.00B","43.75%"
"09/01/2023","0.00000080","0.00000080","0.00000083","0.00000060","956,015.83B","0.00%"
"08/01/2023","0.00000080","0.00000124","0.00000146","0.00000079","1,314,491.79B","-35.48%"
"07/01/2023","0.00000124","0.00000162","0.00000188","0.00000120","1,139,098.34B","-23.46%"
"06/01/2023","0.00000162","0.00000127","0.00000178","0.00000084","2,246,957.37B","27.56%"
