"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2024","182.609","202.510","204.194","175.973","27.08M","-9.83%"
"03/01/2024","202.510","125.621","209.917","111.792","323.83M","61.25%"
"02/01/2024","125.588","97.040","134.492","93.143","179.85M","29.42%"
"01/01/2024","97.043","101.590","116.920","79.009","237.90M","-4.48%"
"12/01/2023","101.590","59.199","125.506","58.614","330.40M","71.61%"
"11/01/2023","59.199","38.401","68.076","37.926","347.45M","54.17%"
"10/01/2023","38.398","21.364","38.561","21.032","204.69M","79.73%"
"09/01/2023","21.364","19.737","21.762","17.396","98.97M","8.30%"
"08/01/2023","19.727","23.722","25.280","19.481","112.59M","-16.83%"
"07/01/2023","23.720","18.858","30.574","17.919","216.81M","25.78%"
"06/01/2023","18.858","20.820","22.290","13.330","161.10M","-9.43%"
"05/01/2023","20.823","22.739","23.224","18.798","110.72M","-8.43%"
"04/01/2023","22.739","21.165","25.960","19.900","157.26M","7.44%"
"03/01/2023","21.165","21.880","23.893","16.060","242.17M","-3.27%"
"02/01/2023","21.880","23.923","27.043","19.699","195.12M","-8.54%"
"01/01/2023","23.923","9.955","26.748","9.705","414.91M","140.30%"
"12/01/2022","9.955","14.144","14.936","8.085","186.69M","-29.68%"
"11/01/2022","14.157","32.564","38.729","10.960","350.53M","-56.54%"
"10/01/2022","32.571","33.246","34.494","26.864","100.71M","-2.02%"
"09/01/2022","33.243","31.507","38.916","30.110","127.28M","5.51%"
"08/01/2022","31.507","42.374","48.341","30.030","174.08M","-25.72%"
"07/01/2022","42.416","33.741","47.255","31.870","213.42M","25.68%"
"06/01/2022","33.749","45.722","46.097","25.966","289.25M","-26.18%"
"05/01/2022","45.718","84.772","95.139","37.342","1.07B","-46.06%"
"04/01/2022","84.757","122.856","143.488","81.888","3.14B","-31.05%"
"03/01/2022","122.919","99.705","129.547","77.774","5.68B","23.28%"
"02/01/2022","99.705","99.515","121.836","75.693","120.51M","0.08%"
"01/01/2022","99.627","169.985","179.496","80.919","115.16M","-41.39%"
"12/01/2021","169.985","208.486","243.069","148.384","102.88M","-18.44%"
"11/01/2021","208.423","202.565","259.861","181.285","110.44M","2.89%"
"10/01/2021","202.573","141.366","218.939","137.730","162.22M","43.30%"
"09/01/2021","141.360","152.549","174.974","116.135","162.07M","30.50%"
"08/01/2021","108.320","36.709","130.030","32.200","","195.08%"
"07/01/2021","36.709","35.536","37.904","22.230","","3.30%"
"06/01/2021","35.536","32.724","43.910","20.472","","13.64%"
"05/01/2021","31.272","42.967","56.083","31.272","6.16M","-26.57%"
"04/01/2021","42.586","19.437","48.360","18.612","","119.09%"
"03/01/2021","19.437","13.063","24.400","11.990","","48.80%"
"02/01/2021","13.063","4.268","20.000","4.128","","206.05%"
"01/01/2021","4.268","1.514","4.781","1.507","","181.90%"
"12/01/2020","1.514","1.967","2.210","1.139","","-23.01%"
"11/01/2020","1.967","1.545","2.510","1.298","","27.28%"
"10/01/2020","1.545","2.889","2.976","1.353","","-46.51%"
"09/01/2020","2.889","4.758","4.934","2.333","","-39.29%"
"08/01/2020","4.758","1.555","4.843","1.436","","205.94%"
